id,Title,Type,Category,Source,Link,Length,Date,Coutry,Language,Relevance,Notes,,,,,,,
73,Huawei Cloud & 4D Earth,Video,Cloud; Societal implications,Huawei,https://v.qq.com/x/cover/mzc00200hitkrji/e0928we072r.html,0:58,2020-04-04,Mainland China,Mandarin,,Commercial,,,,,,,
74,Shenzhen Airport and Huawei Cloud jointly build a smart airport,Video,Cloud; Societal implications,Huawei,https://v.qq.com/x/page/u0927mwb7pp.html,0:47,2020-04-04,Mainland China,Mandarin,,,,,,,,,
75,Shanghai Observatory & Huawei Cloud are one step closer to exploring the universe!,Video,Cloud; Societal implications,Huawei,https://v.qq.com/x/page/v09270dm252.html,2:02,2020-04-04,Mainland China,Mandarin / English,,,,,,,,,
76,Huawei 2020 campus recruitment interview process,Video,Cloud; Societal implications,Huawei,https://v.qq.com/x/page/g09219zhvsv.html,10:00,2020-04-04,Mainland China,Mandarin,,,,,,,,,
77,Huawei Cloud ROMA & IEF Helps Wanzhou to Create a New Smart Park,Video,Cloud; Societal implications,Huawei,https://v.qq.com/x/page/n0893bu8ys0.html,3:46,2020-04-04,Mainland China,Mandarin,,,,,,,,,
78,6 reasons to choose Huawei Cloud,Video,Cloud; Societal implications,Huawei,https://v.qq.com/x/page/d0883jlovvj.html,4:36,2020-04-04,Mainland China,Mandarin / English,,Commercial / Video not present anymore,,,,,,,
79,Fengchao new octahedral cabinet machine,Video,Cloud; Societal implications,Fengchao,https://v.qq.com/x/page/t08711cm81l.html,2:14,2020-04-04,Mainland China,Mandarin,,Commercial,,,,,,,
80,Tianjin City Agent Project,Video,Cloud; Societal implications,Huawei,https://v.qq.com/x/page/l0871f24t3q.html,2:23,2020-04-04,Mainland China,Mandarin,,Commercial,,,,,,,
81,Huawei Cloud Main Video,Video,Cloud; Societal implications,Huawei,https://v.qq.com/x/page/q0856mejvkc.html,2:51,2020-04-04,Mainland China,Mandarin,,Commercial,,,,,,,
82,The third anniversary of Fengchao makes life easier,Video,Cloud; Societal implications,Fengchao,https://v.qq.com/x/page/x0871j5rupy.html,1:00,2020-04-04,Mainland China,Mandarin,,Commercial (Rap video),,,,,,,
83,New Youth Value Theory-Internet of Things Product Manager,Video,Cloud; Societal implications,Huawei,https://v.qq.com/x/page/z08696uxqi5.html,0:48,2020-04-04,Mainland China,Mandarin,,"Interview: ""Each individual cloud service # is a living body, and the product manager helps it to find the value, space and way of survival ...""",,,,,,,
